19-09-25 19:46:10.950 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.Journal011.journal11.ApplicationTests], using SpringBootContextLoader
19-09-25 19:46:13.091 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@521441d5 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
19-09-25 19:46:13.452 [cluster-rtt-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:174264}] to ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017
19-09-25 19:46:13.452 [cluster-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:174264}] to ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017
19-09-25 19:46:13.452 [cluster-rtt-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:168806}] to ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017
19-09-25 19:46:13.452 [cluster-rtt-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:182739}] to ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017
19-09-25 19:46:13.452 [cluster-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:168800}] to ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017
19-09-25 19:46:13.452 [cluster-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:182637}] to ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017
19-09-25 19:46:13.453 [cluster-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=340335700, setName='atlas-tszw46-shard-0', canonicalAddress=ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017, hosts=[ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017, ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017, ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017], passives=[], arbiters=[], primary='ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000058, setVersion=19, topologyVersion=TopologyVersion{processId=68c485598f7bda48d7b57382, counter=6}, lastWriteDate=Fri Sep 19 19:46:23 IST 2025, lastUpdateTimeNanos=247324878683800}
19-09-25 19:46:13.453 [cluster-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=338465100, setName='atlas-tszw46-shard-0', canonicalAddress=ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017, hosts=[ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017, ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017, ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017], passives=[], arbiters=[], primary='ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=19, topologyVersion=TopologyVersion{processId=68c487b862622359ff23e5ef, counter=3}, lastWriteDate=Fri Sep 19 19:46:23 IST 2025, lastUpdateTimeNanos=247324878683700}
19-09-25 19:46:13.453 [cluster-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=340300700, setName='atlas-tszw46-shard-0', canonicalAddress=ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017, hosts=[ac-phlwwlg-shard-00-00.vss6dcy.mongodb.net:27017, ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017, ac-phlwwlg-shard-00-02.vss6dcy.mongodb.net:27017], passives=[], arbiters=[], primary='ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=19, topologyVersion=TopologyVersion{processId=68c47f62f8790d7d10a40864, counter=4}, lastWriteDate=Fri Sep 19 19:46:23 IST 2025, lastUpdateTimeNanos=247324878683800}
19-09-25 19:46:13.455 [cluster-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000058 from replica set primary ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017
19-09-25 19:46:13.455 [cluster-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 19 from replica set primary ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017
19-09-25 19:46:13.455 [cluster-ClusterId{value='68cd65acdb454564c2651c56', description='null'}-ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017
19-09-25 19:46:13.778 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:182621}] to ac-phlwwlg-shard-00-01.vss6dcy.mongodb.net:27017
19-09-25 19:46:14.340 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@44dd0d38, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7e94e331, org.springframework.security.web.context.SecurityContextPersistenceFilter@71bb8b34, org.springframework.security.web.header.HeaderWriterFilter@b56ec6c, org.springframework.security.web.authentication.logout.LogoutFilter@64a1116a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@550c973e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@65036e8d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@16d41725, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@539fc5d1, org.springframework.security.web.session.SessionManagementFilter@179ee36b, org.springframework.security.web.access.ExceptionTranslationFilter@34d9df9f, org.springframework.security.web.access.intercept.AuthorizationFilter@2bcda694]
19-09-25 19:46:15.087 [main] INFO  c.J.journal11.ApplicationTests - Started ApplicationTests in 3.865 seconds (JVM running for 4.819)
